velocidad_bala,distancia_bala_jugador,salto,velocidad_bala2,distancia_bala2_jugador,movimiento_delantero,movimiento_izquierdo
-10,670,0,-10,300,0
-8,654,0,5,295,0
-8,638,0,5,285,0
-8,622,0,5,275,0
-8,606,0,5,265,0
-8,590,0,5,255,0
-8,574,0,5,245,0
-8,558,0,5,235,0
-8,542,0,5,225,0
-8,526,0,5,215,0
-8,510,0,5,205,0
-8,494,0,5,195,0
-8,478,0,5,185,0
-8,462,0,5,175,0
-8,446,0,5,165,0
-8,430,0,5,155,0
-8,414,0,5,145,0
-8,398,0,5,135,0
-8,382,0,5,125,0
-8,366,0,5,115,0
-8,350,0,5,105,0
-8,334,0,5,95,0
-8,318,0,5,85,0
-8,302,0,5,75,0
-8,286,0,5,65,0
-8,270,0,5,55,0
-8,254,0,5,45,0
-8,238,0,5,35,0
-8,222,0,5,25,0
-8,206,0,5,15,0
-10,670,0,-10,300,0
-8,654,0,5,295,0
-8,638,0,5,285,0
-8,622,0,5,275,0
-8,606,0,5,265,0
-8,590,0,5,255,0
-8,574,0,5,245,0
-8,558,0,5,235,0
-8,542,0,5,225,0
-8,526,0,5,215,0
-8,510,0,5,205,0
-8,494,0,5,195,0
-8,478,0,5,185,0
-8,462,0,5,175,0
-8,446,0,5,165,0
-8,430,0,5,155,0
-8,414,0,5,145,0
-8,398,0,5,135,0
-8,382,0,5,125,0
-8,366,0,5,115,0
-8,350,0,5,105,0
-8,334,0,5,95,0
-8,318,0,5,85,0
-8,302,0,5,75,0
-8,286,0,5,65,0
-8,270,0,5,55,0
-8,254,0,5,45,0
-8,238,0,5,35,0
-8,222,0,5,25,0
-8,206,0,5,15,0
-8,670,0,5,300,0
-5,660,0,5,295,0
-5,650,0,5,285,0
-5,640,0,5,275,0
-5,630,0,5,265,0
-5,620,0,5,255,0
-5,610,0,5,245,0
-5,600,0,5,235,0
-5,590,0,5,225,0
-5,580,0,5,215,0
-5,570,0,5,205,0
-5,560,0,5,195,0
-5,550,0,5,185,0
-5,540,0,5,175,0
-5,530,0,5,165,0
-5,520,0,5,155,0
-5,510,0,5,145,0
-5,500,0,5,135,0
-5,481,0,5,125,1
-5,462,0,5,115,1
-5,443,0,5,105,1
-5,424,0,5,95,1
-5,405,0,5,85,1
-5,390,0,5,75,1
-5,389,0,5,65,1
-5,388,0,5,55,1
-5,387,0,5,45,1
-5,386,0,5,35,1
-5,385,0,5,25,1
-5,384,0,5,15,1
-10,670,0,-10,300,0,0
-8,654,0,5,295,0,0
-8,638,0,5,285,0,0
-8,622,0,5,275,0,0
-8,606,0,5,265,0,0
-8,590,0,5,255,0,0
-8,574,0,5,245,0,0
-8,558,0,5,235,0,0
-8,542,0,5,225,0,0
-8,526,0,5,215,0,0
-8,510,0,5,205,0,0
-8,494,0,5,195,0,0
-8,478,0,5,185,0,0
-8,462,0,5,175,0,0
-8,446,0,5,165,0,0
-8,430,0,5,155,0,0
-8,414,0,5,145,0,0
-8,398,0,5,135,0,0
-8,382,0,5,125,0,0
-8,366,0,5,115,0,0
-8,350,0,5,105,0,0
-8,343,0,5,95,0,1
-8,336,0,5,85,0,1
-8,329,0,5,75,0,1
-8,322,0,5,65,0,1
-8,315,0,5,55,0,1
-8,308,0,5,45,0,1
-8,301,0,5,35,0,1
-8,292,0,5,25,0,1
-8,267,0,5,15,0,1
-8,242,0,5,5,0,1
-8,217,0,5,5,0,1
-8,192,0,5,15,0,1
